Submit_ID,Brand_Reg,Model_No,SoldIn,screensize,Screen_Tech,Avg_mode_power,Energy,Availability Status,Star2,Screen_Size2
172787,COOCAA,65G6500H,"Australia,Fiji,New Zealand",163.897,LCD (LED),83.6,330,Available,6,164
172500,TELEFUNKEN,TL320TQ,"Australia,Fiji,New Zealand",80.131,LCD (LED),38.12,145,Available,4.5,80
172441,LOEWE,Stellar 48 DR+ OLED,Australia,120.713,OLED,58,214,Available,5.5,121
172440,LOEWE,Stellar 42 DR+ OLED,Australia,105.531,OLED,52,192,Available,5,106
172439,LOEWE,LOEWE 65 OLED,Australia,163.965,OLED,98,360,Available,6,164
172438,LOEWE,LOEWE 55 OLED,Australia,138.711,OLED,76.5,281,Available,5.5,139
172437,LOEWE,LOEWE,Australia,120.664,OLED,61,225,Available,5.5,121
172436,LOEWE,Stella 65 DR+,Australia,163.965,OLED,85,313,Available,6,164
172435,LOEWE,Stellar 55 DR+ OLED,Australia,138.711,OLED,70,258,Available,6,139
172429,KOGAN,KAL24R98T*,"Australia,Fiji,New Zealand",59.824,LCD (LED),19.2,83,Available,5,60
172426,KOGAN,KAQL75MQ8ZT*,"Australia,Fiji,New Zealand",189.34,LCD (LED),193.1,751,Available,4,189
172424,KONKA,KDL55CK68QNTS,New Zealand,138.783,LCD (LED),88.74,326,Available,5,139
172423,KONKA,KDL65CK68QNTS,New Zealand,163.896,LCD (LED),122.64,450,Available,5,164
172397,LG,86PK640S0SA,"Australia,Fiji,New Zealand",217.425,LCD (LED),155,567,Available,6,217
172396,LG,75PK640S0SA,"Australia,Fiji,New Zealand",189.275,LCD (LED),136.9,501,Available,5.5,189
172395,LG,65PK640S0SB,"Australia,Fiji,New Zealand",163.897,LCD (LED),115,422,Available,5,164
172393,LG,55PK640S0SB,"Australia,Fiji,New Zealand",138.783,LCD (LED),91,334,Available,5,139
172392,LG,50PK640S0SB,"Australia,Fiji,New Zealand",125.727,LCD (LED),81,297,Available,4.5,126
172378,LG,43PK640S0SB,"Australia,Fiji,New Zealand",107.987,LCD (LED),65.9,242,Available,4.5,108
172319,EKO,K40FST,"Australia,Fiji,New Zealand",100.332,LCD (LED),43.2,167,Available,5.5,100
172318,TELEFUNKEN,TL400TQ,"Australia,Fiji,New Zealand",100.337,LCD (LED),43.5,167,Available,5.5,100
172317,QBELL,QTU70T,"Australia,Fiji,New Zealand",176.538,LCD (LED),108.02,430,Available,6,177
172238,LG,75UK767H0LB,"Australia,New Zealand",189.275,LCD (LED),147,539,Available,5.5,189
172207,SAMSUNG ELECTRONICS,UA32T5300AS,"Australia,Fiji,New Zealand",79.967,LCD (LED),31,116,Available,5.5,80
172204,DIGITECH,GH5224,"Australia,New Zealand",79.578,LCD,24.52,92,Available,6,80
172203,DIGITECH,GH5230,"Australia,New Zealand",60.406,LCD,25.17,94,Available,4.5,60
172202,DIGITECH,GH5220,"Australia,New Zealand",47.257,LCD,21.71,81,Available,3.5,47
172201,DIGITECH,GH5204,"Australia,New Zealand",47.257,LCD,14.89,56,Available,5.5,47
172072,KOGAN,KAQL70T97Q*,"Australia,Fiji,New Zealand",176.538,LCD,139.61,538,Available,5,177
172062,DIGITECH,GH5226,"Australia,New Zealand",60.444,LCD,21.64,81,Available,5,60
172061,DIGITECH,GH5228,"Australia,New Zealand",79.578,LCD,35.04,130,Available,4.5,80
172021,COOCAA,60G6500H,New Zealand,152.663,LCD (LED),68.2,300,Available,6,153
172020,COOCAA,55G6500H,New Zealand,138.783,LCD (LED),67.9,280,Available,5.5,139
172019,COOCAA,50G6500H,New Zealand,125.727,LCD (LED),55.3,230,Available,5.5,126
172018,COOCAA,40E5500H,New Zealand,100.34,LCD (LED),32.9,135,Available,6,100
171972,KOGAN,KALED50U95T*,"Australia,Fiji,New Zealand",125.731,LCD (LED),80.1,349,Available,4,126
171948,COOCAA,32E5500H,New Zealand,80.054,LCD (LED),24.3,100,Available,6,80
171931,VEON,VNMHDV4025,New Zealand,100.791,LCD (LED),40.25,165,Available,5.5,101
171930,VEON,VNG3FN6025,New Zealand,152.663,LCD (LED),61.9,250,Available,7,153
171894,LINSAR,LS70UHDNF23,Australia,176.537,LCD (LED),108.294,397,Available,6,177
171877,DGTEC,DG55UHDW-22858,Australia,138.401,LCD,70,270,Available,6,138
171844,KOGAN,"KAL24DH5400VA,KAL24DH5400VB,KAL24DH5400VC","Australia,Fiji,New Zealand",59.827,LCD (LED),23,94,Available,4.5,60
171841,JVC,LT-32NQ3165A,"Australia,Fiji,New Zealand",80.054,LCD (LED),25.26,110,Available,5.5,80
171839,KOGAN,KALED43U95T*,"Australia,Fiji,New Zealand",107.987,LCD (LED),66.3,258,Available,4,108
171705,LG,65UK767H0LB,"Australia,New Zealand",163.897,LCD (LED),69,254,Available,7,164
171704,LG,55UK767H0LB,"Australia,New Zealand",138.783,LCD (LED),55,203,Available,7,139
171703,LG,50UK767H0LB,"Australia,New Zealand",125.727,LCD (LED),54,200,Available,6,126
171702,BAUHN,ATV75UHDW-0925,Australia,189.34,LCD,128.89,485,Available,6,189
171701,LG,43UK767H0LB,"Australia,New Zealand",107.987,LCD (LED),62,229,Available,4.5,108
171700,LG,65UA841C0SA,"Australia,New Zealand",163.897,LCD (LED),118,433,Available,5,164
171699,LG,55UA841C0SA,"Australia,New Zealand",138.783,LCD (LED),92,338,Available,5,139
171698,LG,50UA841C0SA,"Australia,New Zealand",125.727,LCD (LED),83,305,Available,4.5,126
171697,LG,43UA841C0SA,"Australia,New Zealand",107.987,LCD (LED),70,258,Available,4,108
171630,JVC,LT-43NQ5165A,"Australia,Fiji,New Zealand",107.95,LCD (LED),38.4,163,Available,6,108
171627,SKYWORTH,60Q6600H,"Australia,Fiji,New Zealand",152.663,LCD (LED),69.3,280,Available,6,153
171507,TENET,T-185J201,Australia,47.013,LCD (LED),15.3,58,Available,5,47
171506,LG,55UK762H0LB,"Australia,New Zealand",138.783,LCD (LED),95,349,Available,4.5,139
171505,LG,50UK762H0LB,"Australia,New Zealand",125.727,LCD (LED),68,251,Available,5.5,126
171503,LG,43UK762H0LB,"Australia,New Zealand",107.987,LCD (LED),65,240,Available,4.5,108
171501,LG,65UK762H0LB,"Australia,New Zealand",163.897,LCD (LED),106,389,Available,5.5,164
171497,KOGAN,KAL32R98T*,"Australia,Fiji,New Zealand",80.039,LCD (LED),27.7,116,Available,5.5,80
171492,KOGAN,KALED75U95T*,"Australia,Fiji,New Zealand",189.34,LCD (LED),171,685,Available,4.5,189
171489,KOGAN,KAQL65Q97T*,"Australia,Fiji,New Zealand",163.896,LCD (LED),180.8,696,Available,3,164
171487,KOGAN,KAQL55Q97T*,"Australia,Fiji,New Zealand",138.783,LCD (LED),129.3,513,Available,3,139
171415,EKO,K430FGT,"Australia,Fiji,New Zealand",108.135,LCD,45.012,196,Available,5,108
171366,KOGAN,KAQL50Q97T*,"Australia,Fiji,New Zealand",125.731,LCD (LED),102.2,422,Available,3,126
171140,PANASONIC,TN-75W,New Zealand,189.338,LCD (LED),160.3,646,Available,4.5,189
171138,PANASONIC,TN-65W,New Zealand,163.916,LCD (LED),111.9,452,Available,5,164
171136,PANASONIC,TN-55W,New Zealand,138.783,LCD (LED),73.9,299,Available,5.5,139
171125,PANASONIC,TN-43W,New Zealand,107.987,LCD (LED),55.9,227,Available,4.5,108
171092,BAUHN,ATV55UHDW-1025,"Australia,Fiji,New Zealand",138.401,LCD,70,270,Available,6,138
171087,SAMSUNG,HG75U700FAW,"Australia,Fiji,New Zealand",189.338,LCD (LED),118,434,Available,6,189
171086,SAMSUNG,HG65U700FAW,"Australia,Fiji,New Zealand",163.897,LCD (LED),95,350,Available,6,164
171085,SAMSUNG,HG55U700FAW,"Australia,Fiji,New Zealand",138.783,LCD (LED),68,251,Available,6,139
171080,KOGAN,KAL40F98T*,"Australia,Fiji,New Zealand",100.332,LCD (LED),40.4,167,Available,5.5,100
